// trimmed down list with some of the more stupid tunings removed. "Normal users" list. A matching tuning.database basic.json is included

*// defaults

17874,E STANDARD,E STANDARD,E ESTÁNDAR,E STANDARD,E (STANDARD),Eスタンダード,E STANDARD,
17875,DROP D,DROP D,DROP-D,DROP D,DROPPED-D,ドロップD,DROP D,


37228,E Standard,E{B}standard,E estándar,E standard,E-Standard,Eスタンダード,E Standard,
37229,Drop D,Drop{B}D,Drop-D,Drop D,Dropped-D,ドロップD,Drop D,
37230,D Standard,D{B}standard,D estándar,D standard,D-Standard,Dスタンダード,D Standard,
37231,DADGAD,DADGAD,DADGAD,DADGAD,DADGAD,DADGAD,DADGAD,
37232,Open G,Open{B}G,Open G,Aperta in G,Offenes G,オープンG,Open G,
37233,Open A,Open{B}A,Open A,Aperta in A,Offenes A,オープンA,Open A,
37234,Open D,Open{B}D,Open D,Aperta in D,Offenes D,オープンD,Open D,
37235,Custom,Personnalisé,Personalizada,Personalizz.,Individuell,カスタムチューニング,Custom,
37236,D Drop C,D Drop C,D Drop C,D Drop C,D Dropped-C,DドロップC,D Drop C,
37237,E♭ Standard,E♭{B}standard,E♭ estándar,E♭ standard,E♭-Standard,E♭スタンダード,E♭ Standard,
37238,E♭ Drop D♭,E♭ Drop{B}D♭,E♭ Drop D♭,E♭ Drop D♭,E♭ Dropped-D♭,E♭ドロップD♭,E♭ Drop D♭,
37239,C♯ Standard,C♯{B}standard,C♯ estándar,C♯ standard,C♯-Standard,C♯スタンダード,C♯ Standard,
37241,C Standard,C{B}standard,C estándar,C standard,C-Standard,Cスタンダード,C Standard,
37242,Open E,Open{B}E,Open E,Aperta in E,Offenes E,オープンE,Open E,
//*

// "pre defined" additions

37483,F STANDARD,F STANDARD,F ESTÁNDAR,F STANDARD,F-STANDARD,Fスタンダード,F STANDARD,
37484,C♯ DROP B,C♯ DROP B,C♯ DROP B,C♯ DROP B,C♯ DROPPED-B,C♯ドロップB,C♯ DROP B,
37485,C DROP B♭,C DROP B♭,C DROP B♭,C DROP B♭,C DROPPED-B♭,CドロップB♭,C DROP B♭,
37486,B STANDARD,B STANDARD,B ESTÁNDAR,B STANDARD,B-STANDARD,Bスタンダード,B STANDARD,
37487,B DROP A,B DROP A,B DROP A,B DROP A,B DROPPED-A,BドロップA,B DROP A,
37488,B♭ STANDARD,B♭ STANDARD,B♭ ESTÁNDAR,B♭ STANDARD,B♭-STANDARD,B♭スタンダード,B♭ STANDARD,
37489,B♭ DROP A♭,B♭ DROP A♭,B♭ DROP A♭,B♭ DROP A♭,B♭ DROPPED-A♭,B♭ドロップA♭,B♭ DROP A♭,
37490,A STANDARD,A STANDARD,A ESTÁNDAR,A STANDARD,A-STANDARD,Aスタンダード,A STANDARD,
37491,A DROP G,A DROP G,A DROP G,A DROP G,A DROPPED-G,AドロップG,A DROP G,
37492,All Fourth,All Fourth,All Fourth,All Fourth,All Fourth,All Fourth,All Fourth,
37493,DOUBLE DROP D,DOUBLE DROP D,DOUBLE DROP D,DOUBLE DROP D,DOUBLE DROPPED-D,DOUBLE ドロップD,DOUBLE DROP D,
37494,Open C6,Open{B}C6,Open C6,Aperta in C6,Offenes C6,オープンC6,Open C6,
37495,Open C5,Open{B}C5,Open C5,Aperta in C5,Offenes C5,オープンC5,Open C5,
37496,DADADd,DADADd,DADADd,DADADd,DADADd,DADADd,DADADd,
37497,Open Dm7,Open{B}Dm7,Open Dm7,Aperta in Dm7,Offenes Dm7,オープンDm7,Open Dm7,
37498,Open Bm,Open{B}Bm,Open Bm,Aperta in Bm,Offenes Bm,オープンBm,Open Bm,
37499,EADGBD,EADGBD,EADGBD,EADGBD,EADGBD,EADGBD,EADGBD,
37500,Open Dm,Open{B}Dm,Open Dm,Aperta in Dm,Offenes Dm,オープンDm,Open Dm,
37501,DBDGBe,DBDGBe,DBDGBe,DBDGBe,DBDGBe,DBDGBe,DBDGBe,
37502,EADGAe,EADGAe,EADGAe,EADGAe,EADGAe,EADGAe,EADGAe,
37503,Open Em7,Open{B}Em7,Open Em7,Aperta in Em7,Offenes Em7,オープンEm7,Open Em7,
37504,EABGBd♯,EABGBd♯,EABGBd♯,EABGBd♯,EABGBd♯,EABGBd♯,EABGBd♯,
37505,EADGBd♯,EADGBd♯,EADGBd♯,EADGBd♯,EADGBd♯,EADGBd♯,EADGBd♯,
37506,Open D♭/C♯,Open{B}D♭/C♯,Open D♭/C♯,Aperta in D♭/C♯,Offenes D♭/C♯,オープンD♭/C♯,Open D♭/C♯,
37507,
37508,
37509,
37510,
37511,E Drop D♯,E Drop D♯,E Drop D♯,E Drop D♯,E DROPPED-D♯,EドロップD♯,E DROP D♯,
37512,E Drop C♯,E DROP C♯,E DROP C♯,E DROP C♯,E DROPPED-C♯,EドロップC♯,E DROP C♯,
37513,E Drop B,E DROP B,E DROP B,E DROP B,E DROPPED-B,EドロップB,E DROP B,
37514,F♯ Drop E,F♯ DROP E,F♯ DROP E,F♯ DROP E,F♯ DROPPED-E,F♯ドロップE,F♯ DROP E,
37515,
37516,Open F,Open{B}F,Open F,Aperta in F,Offenes F,オープンF,Open F,
37517,
37518,
37519,Double Drop C,Double Drop C,Double Drop C,Double Drop C,Double Drop C,Double Drop C,Double Drop C,
37520,5ths (Cello),5ths (Cello),5ths (Cello),5ths (Cello),5ths (Cello),5ths (Cello),5ths (Cello),
37521,
37522,
37523,
37524,
37525,
37526,
37527,
37528,C Drop G,C DROP G,C DROP G,C DROP G,C DROPPCD-G,CドロップG,C DROP G,
37529,
37530,
37531,
37532,B Standard (6 string),B{B}standard,B estándar,B standard,B-Standard,Bスタンダード,B Standard,
37533,B Drop F,B DROP F,B DROP F,B DROP F,B DROPPBD-F,BドロップF,B DROP F,
37534,B♭ Standard (6 string),B♭{B}standard,B♭ estándar,B♭ standard,B♭-Standard,B♭スタンダード,B♭ Standard,
37535,B♭ Drop A♭ (6 string),B♭ DROP A♭,B♭ DROP A♭,B♭ DROP A♭,B♭ DROPPB♭D-A♭,B♭ドロップA♭,B♭ DROP A♭,
37536,B♭ Drop F,B♭ DROP F,B♭ DROP F,B♭ DROP F,B♭ DROPPB♭D-F,B♭ドロップF,B♭ DROP F,
37537,A Standard (6 string),A{B}standard,A estándar,A standard,A-Standard,Aスタンダード,A Standard,
37538,A♭ Standard,A♭{B}standard,A♭ estándar,A♭ standard,A♭-Standard,A♭スタンダード,A♭ Standard,
37539,A♭ Standard (6 String),A♭{B}standard,A♭ estándar,A♭ standard,A♭-Standard,A♭スタンダード,A♭ Standard,
37540,A♭ Standard,A♭{B}standard,A♭ estándar,A♭ standard,A♭-Standard,A♭スタンダード,A♭ Standard,
37541,G♭ Standard,G♭{B}standard,G♭ estándar,G♭ standard,G♭-Standard,G♭スタンダード,G♭ Standard,
37542,BEADGC,BEADGC,BEADGC,BEADGC,BEADGC,BEADGC,BEADGC,
37543,BEADGE,BEADGE,BEADGE,BEADGE,BEADGE,BEADGE,BEADGE,
37544,BEADGE,BEADGE,BEADGE,BEADGE,BEADGE,BEADGE,BEADGE,
37545,BEADF,BEADF,BEADF,BEADF,BEADF,BEADF,BEADF,
37546,BEADB,BEADB,BEADB,BEADB,BEADB,BEADB,BEADB,
37547,G Standard,G{B}standard,G estándar,G standard,G-Standard,Gスタンダード,G Standard,
37548,Open Dmadd9,Open{B}Dmadd9,Open Dmadd9,Aperta in Dmadd9,Offenes Dmadd9,オープンDmadd9,Open Dmadd9,
37549,E♭ A♭ D♭ E♭ A♭ E♭,E♭ A♭ D♭ E♭ A♭ E♭,E♭ A♭ D♭ E♭ A♭ E♭,E♭ A♭ D♭ E♭ A♭ E♭,E♭ A♭ D♭ E♭ A♭ E♭,E♭ A♭ D♭ E♭ A♭ E♭,E♭ A♭ D♭ E♭ A♭ E♭,
37550,A♭ D♭ A♭ D♭ G♭ B♭,A♭ D♭ A♭ D♭ G♭ B♭,A♭ D♭ A♭ D♭ G♭ B♭,A♭ D♭ A♭ D♭ G♭ B♭,A♭ D♭ A♭ D♭ G♭ B♭,A♭ D♭ A♭ D♭ G♭ B♭,A♭ D♭ A♭ D♭ G♭ B♭,
